,City,Country,Cloudiness (%),Current Temp (F),Date,Humidity,Lat,Long.,Max Temp (F),Wind Speed (mph)
0,Ponta do Sol,PT,96,56.53,1/19/2021 23:16,81,32.67,-17.10,61,12.91
1,Atuona,PF,17,78.24,1/19/2021 23:16,73,-9.80,-139.03,78.24,11.18
2,Barrow,US,90,-2.2,1/19/2021 23:16,78,71.29,-156.79,-2.2,21.85
3,Saint-Philippe,RE,0,76.14,1/19/2021 23:16,74,-21.36,55.77,80.6,2.3
4,Daye,CN,43,45.46,1/19/2021 23:16,59,30.08,114.95,45.46,6.4
5,Rome,US,75,29.93,1/19/2021 23:16,74,43.21,-75.46,30.99,8.05
6,Cape Town,ZA,20,66.22,1/19/2021 23:12,68,-33.93,18.42,68,18.41
7,Provincia di Perugia,IT,75,41.04,1/19/2021 23:16,100,43.05,12.55,44.01,3.44
8,Ordzhonīkīdze,KZ,100,8.06,1/19/2021 23:16,96,52.44,61.74,8.06,1.19
9,Rio Grande,BR,0,72,1/19/2021 23:16,74,-32.04,-52.10,72,11.63
10,Nikolskoye,RU,75,23,1/19/2021 23:17,86,59.70,30.79,23,4.47
11,Malatya Province,TR,0,14,1/19/2021 23:14,79,38.50,38.00,14,2.3
12,Whitianga,NZ,30,66,1/19/2021 23:17,72,-36.83,175.70,66,11.01
13,Mahébourg,MU,20,77,1/19/2021 23:16,94,-20.41,57.70,77,3.44
14,Vestmannaeyjar,IS,2,35.78,1/19/2021 23:17,80,63.44,-20.27,35.78,24.16
15,Hauterive,FR,0,41,1/19/2021 23:17,42,46.09,3.45,41,21.85
16,Ushuaia,AR,20,59,1/19/2021 23:17,58,-54.80,-68.30,59,9.22
17,Erdenet,MN,0,8.65,1/19/2021 23:17,79,49.03,104.08,8.65,1.88
18,Qaanaaq,GL,99,2.44,1/19/2021 23:17,72,77.48,-69.36,2.44,7.99
19,Cidreira,BR,10,72.52,1/19/2021 23:17,70,-30.18,-50.21,72.52,13.13
20,Tynda,RU,100,-35.25,1/19/2021 23:17,81,55.17,124.72,-35.25,2.48
21,Kesztölc,HU,100,34,1/19/2021 23:17,88,47.71,18.80,35.01,4.21
22,Hobart,AU,20,60.78,1/19/2021 23:12,47,-42.88,147.33,62.01,6.91
23,Saint Paul Harbor,US,90,35.6,1/19/2021 23:17,64,57.79,-152.41,35.6,11.27
24,Takhatpur,IN,0,62.74,1/19/2021 23:17,57,22.15,81.87,62.74,4.47
25,Saint George,US,75,55.4,1/19/2021 23:17,24,37.10,-113.58,55.99,9.22
26,Mataura,NZ,100,46.99,1/19/2021 23:17,92,-46.19,168.86,46.99,10
27,Kaitangata,NZ,100,53.01,1/19/2021 23:17,63,-46.28,169.85,53.01,14
28,Leningradskiy,RU,100,-17.09,1/19/2021 23:17,86,69.38,178.42,-17.09,13.13
29,Bredasdorp,ZA,44,62.6,1/19/2021 23:17,72,-34.53,20.04,62.6,4.61
30,Seymchan,RU,71,-43.17,1/19/2021 23:17,79,62.88,152.43,-43.17,1.92
31,Rāwah,IQ,88,52.21,1/19/2021 23:18,77,34.48,41.91,52.21,5.55
32,Hermanus,ZA,47,61,1/19/2021 23:13,86,-34.42,19.23,61,11.18
33,Manhattan,US,1,38.32,1/19/2021 23:07,56,40.78,-73.97,41,5.75
34,Ostrovnoy,RU,100,16.29,1/19/2021 23:18,95,68.05,39.51,16.29,25.05
35,Bathsheba,BB,20,78.8,1/19/2021 23:18,65,13.22,-59.52,78.8,23.02
36,Porto Torres,IT,40,48.2,1/19/2021 23:18,87,40.84,8.40,48.2,3.44
37,Tasiilaq,GL,75,12.2,1/19/2021 23:18,67,65.61,-37.64,12.2,3.44
38,Mar del Plata,AR,0,68.92,1/19/2021 23:18,78,-38.00,-57.56,70,10.36
39,Ilulissat,GL,75,30.2,1/19/2021 23:18,55,69.22,-51.10,30.2,6.91
40,Rikitea,PF,20,78.55,1/19/2021 23:18,77,-23.12,-134.97,78.55,15.32
41,East London,ZA,71,70.56,1/19/2021 23:18,73,-33.02,27.91,70.56,18.95
42,Saskylakh,RU,100,-20.56,1/19/2021 23:18,86,71.92,114.08,-20.56,7.87
43,Menzel Salem,TN,0,35.6,1/19/2021 23:18,69,35.86,8.48,35.6,2.3
44,Murree,PK,0,45,1/19/2021 23:18,72,33.91,73.39,45,7.34
45,Miramar,US,1,67.93,1/19/2021 23:18,56,25.99,-80.23,69.01,8.05
46,Busselton,AU,9,66.99,1/19/2021 23:18,97,-33.65,115.33,66.99,8.03
47,Gubkinskiy,RU,99,-17.37,1/19/2021 23:18,88,64.43,76.50,-17.37,10.4
48,Soyo,AO,83,79.99,1/19/2021 23:18,79,-6.13,12.37,79.99,6.73
49,Waipawa,NZ,2,61,1/19/2021 23:18,51,-41.41,175.52,62.01,28.77
50,Piaçabuçu,BR,99,78.04,1/19/2021 23:18,80,-10.41,-36.43,78.04,10.71
51,Hasaki,JP,20,27.7,1/19/2021 23:18,59,35.73,140.83,30.2,3.44
52,Ribeira Grande,PT,100,60.73,1/19/2021 23:18,73,38.52,-28.70,60.73,14.63
53,Pão de Açúcar,BR,100,78.4,1/19/2021 23:18,65,-9.75,-37.44,78.4,13.47
54,Castel Goffredo,IT,75,32.67,1/19/2021 23:18,100,45.30,10.48,34,3.44
55,Padang,ID,40,71.6,1/19/2021 23:19,94,-0.95,100.35,71.6,2.3
56,Miandrivazo,MG,100,79.59,1/19/2021 23:19,83,-19.52,45.47,79.59,0.45
57,Dingle,PH,98,74.19,1/19/2021 23:19,91,11.00,122.67,74.19,4.18
58,Novy Urengoy,RU,86,-19.19,1/19/2021 23:19,88,66.08,76.63,-19.19,7.27
59,Isangel,VU,75,84.2,1/19/2021 23:19,84,-19.55,169.27,84.2,1.81
60,Matara,LK,98,75.74,1/19/2021 23:19,88,5.95,80.54,75.74,2.37
61,Hithadhoo,MV,14,80.82,1/19/2021 23:19,71,-0.60,73.08,80.82,10.85
62,Avera,US,1,56.08,1/19/2021 23:19,33,33.19,-82.53,57.2,6.08
63,Torbay,CA,90,31.84,1/19/2021 23:14,86,47.67,-52.73,33.01,17.27
64,Puerto Ayora,EC,20,78.31,1/19/2021 23:18,78,-0.74,-90.35,80.6,14.97
65,Vaini,TO,40,87.8,1/19/2021 23:19,70,-21.20,-175.20,87.8,9.22
66,Severo-Kuril'sk,RU,94,13.21,1/19/2021 23:19,87,50.68,156.13,13.21,19.1
67,Nanortalik,GL,29,26.1,1/19/2021 23:18,85,60.14,-45.24,26.1,10.54
68,Saldanha,ZA,0,64.4,1/19/2021 23:19,72,-33.01,17.94,64.4,14.97
69,São João da Barra,BR,0,76.35,1/19/2021 23:19,82,-21.64,-41.05,76.35,15.41
70,Cascais,PT,100,57.49,1/19/2021 23:19,87,38.70,-9.42,57.99,27
71,Dikson,RU,94,-20.42,1/19/2021 23:19,89,73.51,80.55,-20.42,9.28
72,Bull Savanna,JM,80,75.18,1/19/2021 23:19,83,17.89,-77.59,75.18,6.91
73,Saint-Augustin,CA,6,16.14,1/19/2021 23:19,90,51.23,-58.65,16.14,16.42
74,Pochutla,MX,75,86.86,1/19/2021 23:19,45,15.74,-96.47,87.8,8.05
75,Yenotayevka,RU,55,16,1/19/2021 23:19,81,47.25,47.03,16,1.99
76,Manturovo,RU,88,-1.25,1/19/2021 23:19,93,58.34,44.76,-1.25,2.93
77,Constitución,CL,13,63.63,1/19/2021 23:19,80,-35.33,-72.42,63.63,5.91
78,Hamilton,US,1,37.31,1/19/2021 23:18,48,39.18,-84.53,39.2,9.22
79,Bluff,NZ,95,46.99,1/19/2021 23:18,92,-46.60,168.33,46.99,10
80,Kropotkin,RU,98,15.93,1/19/2021 23:20,97,45.44,40.58,15.93,3.94
81,Grand Gaube,MU,42,79,1/19/2021 23:20,88,-20.01,57.66,79,7.56
82,Adrar,MR,29,58.66,1/19/2021 23:19,28,20.50,-10.07,58.66,11.34
83,New Norfolk,AU,0,58.77,1/19/2021 23:18,49,-42.78,147.06,63,1.99
84,Tuatapere,NZ,100,46.99,1/19/2021 23:20,93,-46.13,167.68,46.99,8.01
85,Avarua,CK,20,84.2,1/19/2021 23:20,74,-21.21,-159.78,84.2,6.91
86,Nizwá,OM,0,57.85,1/19/2021 23:20,55,22.93,57.53,57.85,1.43
87,Nānākuli,US,1,81.12,1/19/2021 23:20,48,21.39,-158.15,84.2,11.5
88,Salalah,OM,0,68,1/19/2021 23:20,40,17.02,54.09,68,4.61
89,Nur-Sultan,KZ,0,8.6,1/19/2021 23:20,78,51.18,71.45,8.6,15.66
90,Jamestown,US,90,26.6,1/19/2021 23:18,86,42.10,-79.24,28,6.91
91,Warrnambool,AU,0,62.01,1/19/2021 23:20,71,-38.38,142.48,62.01,1.01
92,Álamos,MX,99,70,1/19/2021 23:20,62,27.02,-108.93,70,8.01
93,Hilo,US,75,75.74,1/19/2021 23:17,61,19.73,-155.09,80.6,8.05
94,George Town,MY,40,75.54,1/19/2021 23:19,83,5.41,100.34,77,3.44
95,Kalmunai,LK,54,74.77,1/19/2021 23:20,93,7.42,81.82,74.77,9.37
96,Geraldton,AU,90,77,1/19/2021 23:20,65,-28.77,114.60,77,10.36
97,Alice Springs,AU,0,79.47,1/19/2021 23:18,18,-23.70,133.88,82.4,12.66
98,Atar,MR,55,60.19,1/19/2021 23:20,26,20.52,-13.05,60.19,11.14
99,Punta Arenas,CL,0,62.29,1/19/2021 23:18,48,-53.15,-70.92,62.6,6.91
100,Bengkulu,ID,25,75,1/19/2021 23:20,83,-3.80,102.27,75,5.14
101,Port Alfred,ZA,18,66.99,1/19/2021 23:20,91,-33.59,26.89,66.99,4
102,São Filipe,CV,100,72.7,1/19/2021 23:20,66,14.90,-24.50,72.7,10.78
103,Kapaa,US,90,68.2,1/19/2021 23:18,100,22.08,-159.32,69.8,23.02
104,Biswān,IN,0,54.3,1/19/2021 23:21,76,27.50,81.00,54.3,7.76
105,Beloha,MG,87,75.61,1/19/2021 23:21,80,-25.17,45.05,75.61,12.35
106,Aykhal,RU,100,-52.26,1/19/2021 23:21,74,66.00,111.50,-52.26,3.29
107,Kununurra,AU,40,82.4,1/19/2021 23:21,83,-15.77,128.73,82.4,2.3
108,Port Hedland,AU,0,87.8,1/19/2021 23:21,66,-20.32,118.57,87.8,2.3
109,Tilichiki,RU,92,-24.25,1/19/2021 23:20,85,60.47,166.10,-24.25,14.52
110,Clyde River,CA,75,1.4,1/19/2021 23:20,92,70.47,-68.59,1.4,10.36
111,Karpogory,RU,100,12.58,1/19/2021 23:21,96,64.00,44.45,12.58,7.2
112,Upernavik,GL,100,21.24,1/19/2021 23:19,76,72.79,-56.15,21.24,5.79
113,Hurghada,EG,0,55.4,1/19/2021 23:21,35,27.26,33.81,55.4,12.66
114,Bitung,ID,20,75.2,1/19/2021 23:21,94,1.45,125.18,75.2,3.38
115,Bethel,US,1,30.97,1/19/2021 23:21,74,41.37,-73.41,33.01,6.58
116,Albany,US,93,34.02,1/19/2021 23:20,71,42.60,-73.97,36,4.34
117,Apple Valley,US,99,51.04,1/19/2021 23:21,29,34.50,-117.19,52,21.99
118,Ulladulla,AU,40,64.58,1/19/2021 23:21,52,-35.35,150.47,68,9.22
119,Inta,RU,99,-0.9,1/19/2021 23:21,90,66.03,60.17,-0.9,5.37
120,Ngerengere,TZ,74,71.64,1/19/2021 23:21,94,-6.75,38.12,71.64,3.09
121,Chokurdakh,RU,48,-37.93,1/19/2021 23:21,83,70.63,147.92,-37.93,2.89
122,Buala,SB,89,85.01,1/19/2021 23:19,68,-8.15,159.59,85.01,4.81
123,Emerald,AU,40,84.11,1/19/2021 23:21,61,-23.53,148.17,84.2,10.36
124,Švenčionys,LT,0,3.76,1/19/2021 23:21,94,55.15,26.17,3.76,7.99
125,Blagoyevo,RU,100,8.38,1/19/2021 23:21,95,63.37,47.92,8.38,6.8
126,Diego de Almagro,CL,0,73.81,1/19/2021 23:21,27,-26.37,-70.05,73.81,10.07
127,Shimoda,JP,75,36.88,1/19/2021 23:22,56,34.67,138.95,41,14.97
128,Ginda,IN,0,39.69,1/19/2021 23:22,44,30.69,78.49,39.69,6.91
129,Port Elizabeth,ZA,0,68,1/19/2021 23:22,77,-33.92,25.57,68,16.11
130,La Orilla,MX,60,81.41,1/19/2021 23:22,63,17.98,-102.23,81.41,6.6
131,Abéché,TD,0,65.62,1/19/2021 23:22,26,13.83,20.83,65.62,14.61
132,Tiarei,PF,40,86,1/19/2021 23:22,62,-17.53,-149.33,86,6.91
133,Lufilufi,WS,40,89.29,1/19/2021 23:22,74,-13.87,-171.60,89.6,17.27
134,Sitka,US,75,39.2,1/19/2021 23:20,81,57.05,-135.33,39.2,12.66
135,Ahipara,NZ,61,65.62,1/19/2021 23:22,57,-35.17,173.17,65.62,14.29
136,Pascagoula,US,1,61.92,1/19/2021 23:22,63,30.37,-88.56,62.6,5.75
137,Ambilobe,MG,100,74.79,1/19/2021 23:22,94,-13.20,49.05,74.79,7.56
138,Sapa,PH,89,81.23,1/19/2021 23:22,81,5.15,120.32,81.23,13.85
139,Pevek,RU,100,-28.32,1/19/2021 23:22,86,69.70,170.31,-28.32,7.43
140,Te Anau,NZ,100,45.46,1/19/2021 23:22,87,-45.42,167.72,45.46,8.79
141,Touros,BR,20,80.6,1/19/2021 23:22,78,-5.20,-35.46,80.6,13.8
142,Lebu,CL,0,62.28,1/19/2021 23:22,75,-37.62,-73.65,62.28,22.68
143,Yellowknife,CA,90,15.8,1/19/2021 23:22,92,62.46,-114.35,15.8,6.91
144,Provideniya,RU,90,-2.2,1/19/2021 23:19,78,64.38,-173.30,-2.2,8.95
145,Labuhan,ID,100,77.23,1/19/2021 23:22,88,-6.88,112.21,77.23,7.4
146,Marsá Maţrūḩ,EG,40,48.2,1/19/2021 23:22,87,31.35,27.25,48.2,11.5
147,Kavieng,PG,96,82.22,1/19/2021 23:18,78,-2.57,150.80,82.22,13.49
148,San Roque,ES,22,51.8,1/19/2021 23:22,93,36.21,-5.38,51.8,3.44
149,Pļaviņas,LV,0,6.3,1/19/2021 23:22,94,56.62,25.73,6.3,5.48
150,Kharp,RU,96,-20.56,1/19/2021 23:22,85,66.80,65.81,-20.56,3.69
151,Tiksi,RU,100,-26.45,1/19/2021 23:23,80,71.69,128.87,-26.45,1.54
152,Thompson,CA,90,-2.2,1/19/2021 23:18,84,55.74,-97.86,-2.2,5.75
153,Kosonsoy,UZ,90,41,1/19/2021 23:23,87,41.26,71.55,41,6.91
154,Yondó,CO,3,80.83,1/19/2021 23:23,70,7.01,-73.91,80.83,2.28
155,San Quintín,MX,98,64.09,1/19/2021 23:18,70,30.48,-115.95,64.09,23.62
156,Bahir Dar,ET,20,60.4,1/19/2021 23:23,47,11.59,37.39,60.4,2.21
157,San Fernando del Valle de Catamarca,AR,16,69.94,1/19/2021 23:23,58,-28.47,-65.79,72,1.01
158,Taoudenni,ML,13,60.85,1/19/2021 23:20,28,22.68,-3.98,60.85,14.88
159,Butaritari,KI,84,80.13,1/19/2021 23:23,81,3.07,172.79,80.13,21
160,San Jose,US,20,65.88,1/19/2021 23:19,13,37.34,-121.90,68,10.36
161,Camopi,GF,94,72.45,1/19/2021 23:23,96,3.17,-52.32,72.45,4.03
162,Ancud,CL,0,68.92,1/19/2021 23:18,68,-41.87,-73.82,70,6.91
163,Hambantota,LK,96,75.92,1/19/2021 23:23,89,6.12,81.12,75.92,2.06
164,Tottori-shi,JP,75,32,1/19/2021 23:23,86,35.50,134.23,32,8.05
165,Bose,IT,84,32.72,1/19/2021 23:23,73,45.46,8.01,35.01,1.01
166,Kumul,CN,86,14.95,1/19/2021 23:20,77,42.80,93.45,14.95,1.34
167,Aswān,EG,10,52.39,1/19/2021 23:23,45,24.09,32.91,52.39,10.45
168,Dublin,US,1,63.66,1/19/2021 23:21,15,37.70,-121.94,66.2,14.97
169,Fort Walton Beach,US,1,58.93,1/19/2021 23:22,63,30.41,-86.62,60.8,5.75
170,Sioni,GE,0,30.2,1/19/2021 23:23,74,41.99,45.02,30.2,14.97
171,Khani,GE,90,32,1/19/2021 23:19,93,41.96,42.96,32,2.3
172,Laguna,US,1,67.21,1/19/2021 23:20,15,38.42,-121.42,69.01,12.66
173,Vila do Maio,CV,75,69.8,1/19/2021 23:24,73,15.13,-23.22,69.8,16.11
174,Castro,BR,100,64.47,1/19/2021 23:24,98,-24.79,-50.01,64.47,7.25
175,Port Hardy,CA,75,43.5,1/19/2021 23:24,87,50.70,-127.42,44.6,3.44
176,Fare,PF,60,80.73,1/19/2021 23:24,77,-16.70,-151.02,80.73,16.22
177,Tessalit,ML,11,62.56,1/19/2021 23:23,25,20.20,1.01,62.56,14.83
178,Al Bardīyah,LY,4,53.2,1/19/2021 23:24,65,31.76,25.09,53.2,15.66
179,Praia,CV,75,69.8,1/19/2021 23:24,73,14.92,-23.51,69.8,16.11
180,Mayo,US,1,42.42,1/19/2021 23:24,49,38.89,-76.51,44.01,3.44
181,Nan,TH,0,51.8,1/19/2021 23:24,100,18.83,100.67,51.8,3.44
182,Khatanga,RU,100,-27.17,1/19/2021 23:24,86,71.97,102.50,-27.17,1.54
183,Henties Bay,NA,91,66,1/19/2021 23:24,87,-22.12,14.28,66,1.23
184,Cabo San Lucas,MX,90,70.93,1/19/2021 23:24,49,22.89,-109.91,71.6,3.44
185,Inhambane,MZ,97,78.22,1/19/2021 23:24,88,-23.87,35.38,78.22,6.11
186,Choix,MX,100,81.05,1/19/2021 23:24,18,26.71,-108.32,81.05,13.73
187,Magdagachi,RU,100,-24.68,1/19/2021 23:24,86,53.45,125.80,-24.68,6.73
188,China,MX,28,79.52,1/19/2021 23:24,54,25.70,-99.23,79.52,15.23
189,Lompoc,US,41,63.72,1/19/2021 23:24,39,34.64,-120.46,66.99,11.5
190,Pangody,RU,92,-23.04,1/19/2021 23:24,87,65.85,74.49,-23.04,6.53
191,Saint Anthony,US,1,11.71,1/19/2021 23:22,62,45.02,-93.22,12.99,9.22
192,Half Moon Bay,US,1,62.96,1/19/2021 23:24,17,37.46,-122.43,64.4,19.57
193,Katsuura,JP,40,37.54,1/19/2021 23:24,48,35.13,140.30,37.99,18.41
194,Safi,MA,82,56.23,1/19/2021 23:24,78,32.30,-9.24,56.23,8.79
195,Manggar,ID,100,78.31,1/19/2021 23:24,84,-2.88,108.27,78.31,10.22
196,Kutum,SD,41,52.88,1/19/2021 23:24,39,14.20,24.67,52.88,13.62
197,Hammonton,US,15,35.31,1/19/2021 23:25,72,39.64,-74.80,37,6.08
198,Neryungri,RU,100,-28.03,1/19/2021 23:25,81,56.67,124.65,-28.03,6.29
199,San Patricio,US,90,71.6,1/19/2021 23:20,73,28.02,-97.52,73.4,18.41
200,College,US,75,19.98,1/19/2021 23:23,68,64.86,-147.80,21.2,4.61
201,Skibbereen,IE,75,50,1/19/2021 23:25,100,51.55,-9.27,50,17.27
202,Naze,JP,75,59,1/19/2021 23:25,63,28.37,129.48,59,6.91
203,Tucson,US,90,70.2,1/19/2021 23:24,16,32.22,-110.93,72,4.61
204,Talnakh,RU,100,-25.11,1/19/2021 23:25,85,69.49,88.40,-25.11,0.85
205,Nyurba,RU,100,-45.71,1/19/2021 23:25,77,63.28,118.33,-45.71,6.06
206,Arraial do Cabo,BR,0,75.97,1/19/2021 23:25,83,-22.97,-42.03,77,16.11
207,Rāzole,IN,1,63.3,1/19/2021 23:25,93,16.48,81.83,63.3,3.2
208,Anloga,GH,20,80.6,1/19/2021 23:21,89,5.79,0.90,80.6,8.05
209,Guerrero Negro,MX,63,70.36,1/19/2021 23:25,51,27.98,-114.06,70.36,21.47
210,Rochester,US,40,30,1/19/2021 23:21,64,43.15,-77.62,30.99,12.66
211,Fukuechō,JP,20,33.8,1/19/2021 23:25,93,32.69,128.84,33.8,3.44
212,Faanui,PF,7,81.25,1/19/2021 23:25,73,-16.48,-151.75,81.25,14.72
213,Lata,PT,100,54.41,1/19/2021 23:25,77,40.16,-8.33,55.99,5.99
214,Matalom,PH,98,77.85,1/19/2021 23:25,85,10.28,124.79,77.85,3.58
215,Sydney,AU,90,66.69,1/19/2021 23:21,56,-33.87,151.21,68,12.66
216,Yar-Sale,RU,72,-28.34,1/19/2021 23:25,84,66.83,70.83,-28.34,4.23
217,Sørland,NO,72,33.94,1/19/2021 23:25,85,67.67,12.69,33.94,17.63
218,Broken Hill,AU,80,73.4,1/19/2021 23:25,21,-31.95,141.43,73.4,10.36
219,Ilesha,NG,0,74.25,1/19/2021 23:26,81,7.14,5.26,74.25,3.27
220,Tuktoyaktuk,CA,90,3.2,1/19/2021 23:26,78,69.45,-133.04,3.2,13.8
221,Inuvik,CA,100,-6.68,1/19/2021 23:26,84,68.35,-133.72,-5.8,5.75
222,Teya,RU,99,-20.06,1/19/2021 23:26,84,60.38,92.63,-20.06,2.46
223,Itarema,BR,100,79.57,1/19/2021 23:26,79,-2.92,-39.92,79.57,11.21
224,Talaya,RU,80,-44.45,1/19/2021 23:26,75,61.38,152.75,-44.45,1.16
225,Esperance,AU,40,78.8,1/19/2021 23:26,38,-33.87,121.90,78.8,18.41
226,Gushikawa,JP,75,59.9,1/19/2021 23:26,88,26.35,127.87,62.6,10.36
227,Khandyga,RU,100,-41.87,1/19/2021 23:26,80,62.67,135.60,-41.87,0.74
228,Zhicheng,CN,78,45,1/19/2021 23:23,63,30.30,111.50,45,2.51
229,Mount Gambier,AU,0,64.4,1/19/2021 23:26,52,-37.83,140.77,64.4,13.8
230,Honiara,SB,100,80.01,1/19/2021 23:25,78,-9.43,159.95,80.01,2.17
231,Poum,NC,100,79.02,1/19/2021 23:26,82,-20.23,164.02,79.02,3.8
232,Kot Samaba,PK,0,50.31,1/19/2021 23:26,45,28.55,70.47,50.31,3.02
233,Pisco,PE,0,72.81,1/19/2021 23:22,73,-13.70,-76.22,73.4,24.16
234,Viedma,AR,26,77.09,1/19/2021 23:26,46,-40.81,-63.00,77.09,13.53
235,Menomonie,US,75,10.17,1/19/2021 23:26,72,44.88,-91.92,10.4,10.36
236,San Cristobal,VE,40,82.4,1/19/2021 23:26,65,7.77,-72.23,82.4,6.91
237,Troitsko-Pechorsk,RU,100,-2.78,1/19/2021 23:26,92,62.71,56.20,-2.78,7.14
238,Deputatsky,RU,85,-36.58,1/19/2021 23:26,85,69.30,139.90,-36.58,0.98
239,Hohhot,CN,0,5,1/19/2021 23:27,66,40.81,111.65,5,4.47
240,Mezen',RU,96,8.64,1/19/2021 23:27,96,65.85,44.24,8.64,5.03
241,Chui,UY,0,67.1,1/19/2021 23:27,72,-33.70,-53.46,67.1,7.92
242,Goderich,CA,100,28.4,1/19/2021 23:27,64,43.75,-81.72,28.4,16.11
243,Bismarck,US,90,21.67,1/19/2021 23:22,63,46.81,-100.78,23,6.91
244,Kahului,US,40,77.92,1/19/2021 23:27,51,20.89,-156.47,84.2,9.82
245,Saint-François,FR,0,37.33,1/19/2021 23:27,60,46.42,3.91,41,11.5
246,Lüderitz,NA,0,69.78,1/19/2021 23:23,65,-26.65,15.16,69.78,24.4
247,Hofn,IS,40,38.28,1/19/2021 23:27,76,64.25,-15.21,38.28,15.26
248,Ust'-Kulom,RU,100,-5.15,1/19/2021 23:26,91,61.69,53.69,-5.15,4.43
249,Haines Junction,CA,100,28.4,1/19/2021 23:27,80,60.75,-137.51,28.4,1.14
250,Villaviciosa,ES,0,47.05,1/19/2021 23:27,54,43.48,-5.44,51.8,2.3
251,Aginskoye,RU,93,4.62,1/19/2021 23:27,91,51.10,114.53,4.62,4.97
252,Necochea,AR,1,75,1/19/2021 23:27,66,-38.55,-58.74,75,5.01
253,Waverly,US,90,27.93,1/19/2021 23:27,80,42.74,-84.62,28.99,9.22
254,Lamu,KE,1,78.8,1/19/2021 23:27,83,-2.27,40.90,78.8,5.75
255,Beverley,GB,40,50.61,1/19/2021 23:25,93,53.85,-0.42,51.01,21.85
256,Montepuez,MZ,100,71.37,1/19/2021 23:27,96,-13.13,39.00,71.37,2.06
257,Manta,EC,40,82.4,1/19/2021 23:27,74,-0.95,-80.73,82.4,4.61
258,Malbork,PL,90,26.82,1/19/2021 23:27,93,54.04,19.03,27,10.36
259,Kärdla,EE,0,24.01,1/19/2021 23:27,88,59.00,22.75,24.01,7
260,Polunochnoye,RU,100,-6.92,1/19/2021 23:27,91,60.87,60.42,-6.92,6.13
261,Booué,GA,100,74.03,1/19/2021 23:27,91,-0.09,11.94,74.03,1.63
262,Magadan,RU,74,-16.91,1/19/2021 23:27,75,59.57,150.80,-16.91,9.91
263,Oeiras,BR,99,79.25,1/19/2021 23:28,66,-7.03,-42.13,79.25,3.22
264,Broome,US,90,30.09,1/19/2021 23:28,59,42.25,-75.83,32,10.36
265,Manicoré,BR,0,80.6,1/19/2021 23:28,83,-5.81,-61.30,80.6,3.44
266,Puerto Pailas,BO,40,81.5,1/19/2021 23:28,54,-17.67,-62.79,82.4,3.44
267,Beyneu,KZ,98,20.73,1/19/2021 23:28,90,45.32,55.20,20.73,7.47
